current_category,current_gender,count,new_category,new_gender
Jeans,men,1562,"",""
Jeans,women,567,"",""
Work pants,men,153,"",""
Short sleeve t-shirt,men,131,"",""
Denim shorts,men,101,"",""
Crewneck sweatshirt,men,82,"",""
Cargo pants,men,76,"",""
Pants,men,75,"",""
Hoodie sweatshirt,men,74,"",""
Long sleeve shirt,men,57,"",""
Cargo shorts,men,49,"",""
Graphic t-shirt,men,49,"",""
Other,,32,"",""
Denim shorts,women,28,"",""
Short sleeve shirt,men,24,"",""
T-shirt,men,18,"",""
Sunglasses,men,17,"",""
Long sleeve t-shirt,men,13,"",""
Joggers,men,13,"",""
Half-zip,men,12,"",""
Rework jacket,men,11,"",""
Jeans,boys,9,"",""
Pants,women,9,"",""
Work shorts,men,8,"",""
Leather jacket,men,7,"",""
Chino shorts,men,7,"",""
V-neck sweater,men,6,"",""
Jacket,men,6,"",""
Corduroy pants,men,6,"",""
Vest,men,5,"",""
Denim jacket,women,5,"",""
Sport jacket,men,5,"",""
Turtleneck sweater,women,4,"",""
Polo,men,4,"",""
Denim shirt,men,4,"",""
Fleece,women,4,"",""
Crewneck sweatshirt,women,4,"",""
Work jacket,men,3,"",""
Cargo pants,women,3,"",""
Fleece,men,3,"",""
Jeans,girls,3,"",""
Denim skirt,women,2,"",""
Denim jacket,men,2,"",""
Sport shorts,men,2,"",""
Work pants,women,2,"",""
Crew neck sweater,men,2,"",""
Short sleeve t-shirt,women,2,"",""
Sunglasses,women,2,"",""
Uncategorized,men,1,"",""
Puffer jacket,women,1,"",""
Rugby jersey,men,1,"",""
Half-zip,women,1,"",""
Chino shorts,women,1,"",""
Work jacket,women,1,"",""
Graphic t-shirt,women,1,"",""
Jacket,women,1,"",""
Slim Jeans,men,1,"",""
V-neck sweater,women,1,"",""
Trench Coat,men,1,"",""
Raincoat/Windbreaker,men,1,"",""
Baseball jersey,men,1,"",""
Turtleneck sweater,men,1,"",""
Work coveralls,men,1,"",""
Raincoat/Windbreaker,women,1,"",""
Sport jacket,women,1,"",""
Shorts,men,1,"",""
Varsity jacket,men,1,"",""
