id,color_name,name_fr,name_de,name_it,name_es,name_nl,name_pl,parent_color,hex_code,status,priority,trend_level
1,White,Blanc,Weiß,Bianco,Blanco,Wit,Biały,,#FFFFFF,existing,keep,stable
2,Off-white,Blanc cassé,Gebrochen Weiß,Bianco sporco,Blanco roto,Gebroken wit,Złamana biel,White,#FAF9F6,to_add,tier_1,high
3,Ivory,Ivoire,Elfenbein,Avorio,Marfil,Ivoorwit,Kość słoniowa,White,#FFFFF0,to_add,tier_2,medium
4,Cream,Crème,Creme,Crema,Crema,Crème,Kremowy,White,#FFFDD0,existing,keep,stable
5,Beige,Beige,Beige,Beige,Beige,Beige,Beżowy,,#F5F5DC,existing,keep,stable
6,Sand,Sable,Sand,Sabbia,Arena,Zand,Piaskowy,Beige,#C2B280,to_add,tier_3,medium
7,Nude,Nude,Nude,Nudo,Nude,Nude,Cielisty,Beige,#E3BC9A,to_add,tier_2,high
8,Gray,Gris,Grau,Grigio,Gris,Grijs,Szary,,#808080,existing,keep,stable
9,Charcoal,Anthracite,Anthrazit,Antracite,Carbón,Antraciet,Antracytowy,Gray,#36454F,existing,keep,stable
10,Slate,Ardoise,Schiefergrau,Ardesia,Pizarra,Leisteen,Łupkowy,Gray,#708090,to_add,tier_3,medium
11,Taupe,Taupe,Taupe,Talpa,Topo,Taupe,Szarobrązowy,Gray,#483C32,to_add,tier_3,high
12,Silver,Argent,Silber,Argento,Plata,Zilver,Srebrny,Gray,#C0C0C0,existing,keep,stable
13,Black,Noir,Schwarz,Nero,Negro,Zwart,Czarny,,#000000,existing,keep,stable
14,Brown,Marron,Braun,Marrone,Marrón,Bruin,Brązowy,,#964B00,existing,keep,stable
15,Tan,Fauve,Hellbraun,Cuoio,Canela,Lichtbruin,Jasnobrązowy,Brown,#D2B48C,existing,keep,stable
16,Camel,Camel,Kamel,Cammello,Camello,Kameel,Wielbłądzi,Brown,#C19A6B,existing,keep,stable
17,Cognac,Cognac,Cognac,Cognac,Coñac,Cognac,Koniakowy,Brown,#9A463D,existing,keep,stable
18,Mocha,Moka,Mokka,Moca,Moca,Mokka,Mokka,Brown,#967969,to_add,tier_1,very_high
19,Chocolate,Chocolat,Schokolade,Cioccolato,Chocolate,Chocolade,Czekoladowy,Brown,#7B3F00,to_add,tier_1,very_high
20,Espresso,Expresso,Espresso,Espresso,Espresso,Espresso,Espresso,Brown,#4E312D,to_add,tier_2,high
